mnid,clean_cooking,clean_lighting,div_index,pol_index,new_lu_name,yhat_ols,yhat_fe_div,yhat_fe_both
Phaktanlung Gaunpalika,.047186933,.97459167,.12951645,.25015897,,.17149611,.062666997,-.0075626639
Mikwakhola Gaunpalika,.035294119,.9811765,.3097499,.55115551,,.1901498,.076177992,.046302404
Meringden Gaunpalika,.033898305,.94538605,.13065311,.24756667,,.10744198,.065538898,-.0070378636
Maiwakhola Gaunpalika,.022964509,.95615864,.17344749,.32307401,,.2059668,.052870706,-.0020915789
Aatharai Tribeni Gaunpalika,.034358047,.98191684,.39027181,.65034449,,.22876601,-.019520644,-.010937378
Phungling Municipality,.34956709,.98160172,.50257272,.79675102,,.53737783,.32703111,.32564825
Pathivara Yangwarak Gaunpalika,.024299065,.9813084,.50824517,.83749115,,.27899536,.082138069,.081693977
Sirijanga Gaunpalika,.046901174,.98492461,.56146455,.89359117,,.33434707,.06671261,.074228972
Sidingba Gaunpalika,.025590552,.99212599,.47083265,.82615191,,.20622537,.027272381,.030723674
Bhotkhola Gaunpalika,.03233831,.98507464,.049401492,.096734531,,.055098064,.10894731,.055749305
Makalu Gaunpalika,.091639869,.9356913,.20810516,.38000464,,.19196048,.16711928,.11959999
Silichong Gaunpalika,.019607844,.96666664,.076563276,.14837651,,.074554481,.10529087,.040479973
Chichila Gaunpalika,.064999998,.97500002,.26028663,.44761151,,.19292022,.13719977,.10854471
Sabhapokhari Gaunpalika,.097847357,.95303327,.33184132,.58530772,,.21848297,.1192355,.10316733
Khandabari Municipality,.40967155,.98631388,.50849092,.8057164,,.44156343,.39305189,.40887856
Panchakhapan Municipality,.056213018,.97633135,.54119217,.82944798,,.23790109,.10838475,.1432309
Chainapur Municipality,.12362031,.98344374,.51856256,.86389101,,.26408526,.13101518,.14955314
Madi Municipality,.063227952,.99500829,.60418838,.89255369,,.30106756,.12146689,.14576735
Dharmadevi Municipality,.079295151,.98825258,.55991066,.93905222,,.25968421,.10573168,.12971146
Khumbu Pasanglhamu Gaunpalika,.67704278,.9844358,.1398122,.26468405,,.52204889,.54247516,.48157445
Mahakulung Gaunpalika,.035587188,.9679715,.082548842,.15986195,,.091783091,.11082235,.056028411
Sotang Gaunpalika,.086419754,.97530866,.47960633,.80368191,,.23685643,.15848003,.17414747
Mapya Dudhkoshi Gaunpalika,.061538462,.99145299,.35920158,.61369342,,.19445498,.15875095,.1283707
Thulung Dudhkoshi Gaunpalika,.064032696,.99591279,.51507455,.81337708,,.20117059,.087945573,.087571681
Necha Salyan Gaunpalika,.036630038,.97619045,.56027871,.90623313,,.17625694,.056920599,.077785715
Solu Dhudhakunda Municipality,.26746726,.98034936,.41230997,.68455273,,.44845268,.28238919,.26296189
Likhu Pike Gaunpalika,.017964073,1,.54261744,.95042253,,.18949234,.029272828,.043018438
Chishankhu Gadhi Gaunpalika,.036363635,.98842973,.5662539,.86247748,,.15498586,.0712917,.083893687
Siddhicharan Municipality,.15974441,.98722047,.55230153,.85149735,,.20635681,.13681741,.14739788
Molung Gaunpalika,.071953014,.969163,.5818333,.87908977,,.19990252,.11722849,.1263234
Khiji Demba Gaunpalika,.059870549,.98867315,.34514061,.60159564,,.13416117,.099523365,.074425876
Likhu Gaunpalika,.035714287,.9982993,.6068812,.90362972,,.16139418,.08017423,.091859028
Champadevi Gaunpalika,.073637702,.97938144,.59505081,.91812849,,.14866655,.086954996,.10596362
Sunkoshi Gaunpalika,.064697608,.9943741,.56063527,.92817235,,.13822018,.096234903,.11737337
Manebhanjyang Gaunpalika,.13733333,.99199998,.38391742,.65458596,,.15544111,.15956858,.14964563
Kepilasgadhi Gaunpalika,.052892562,.9801653,.29748532,.5219143,,.13855593,.10474064,.080958918
Aiselukharka Gaunpalika,.036065575,.94098359,.48945442,.82173514,,.1606814,.082906209,.093514659
Rawa Besi Gaunpalika,.055865921,.98324025,.56600076,.83704674,,.17839022,.067577504,.095724173
Halesi Tuwachung Municipality,.10630841,.9813084,.47765693,.77725691,,.1866499,.1342309,.12494775
Diktel Rupakot Majhuwagadhi Municipality,.18771043,.98316497,.55569637,.87283808,,.33199808,.22074141,.21937191
Sakela Gaunpalika,.026748972,.97119343,.54556292,.88676512,,.22660343,.090351872,.08594586
Diprung Chuichumma Gaunpalika,.021341464,.96951222,.58068454,.90812689,,.19293347,.075989448,.081369407
Khotehang Gaunpalika,.045123726,.9708879,.58574283,.86718225,,.20853026,.099101357,.10096698
Jante Dhunga Gaunpalika,.066543438,.96487987,.50468177,.81996822,,.18595378,.13189775,.12707612
Baraha Pokhari Gaunpalika,.069230773,.97692305,.32951558,.57024264,,.10127721,.099367701,.080889918
Shadananda Municipality,.04911181,.98014629,.52831542,.8422302,,.24581476,.088008322,.10424502
Salpa Silichho Gaunpalika,.040280212,.93870401,.43009838,.71853572,,.20352694,.12019946,.12654345
Temkemaiyum Gaunpalika,.036253776,.97129911,.53670555,.80896711,,.24196805,.063062452,.070845723
Bhojpur Municipality,.25109649,.98903507,.48074859,.79523891,,.37495592,.2469164,.24672672
Arun Gaunpalika,.036565978,.98410177,.50101423,.81051153,,.1819654,.066260733,.087707877
Pauwa Dunma Gaunpalika,.042704627,.98754448,.5439406,.87959218,,.22358674,.1035324,.11421358
Ramprasad Rai Gaunpalika,.027777778,.97376543,.44232133,.73781675,,.15313467,.08650551,.096363902
