mnid,clean_cooking,clean_lighting,house_ownership,male_head,literate_head,age_head,share_sq,pol_term,div_index,pol_index,year,new_lu_name,_est_m1,yhat_ols,_est_m2,yhat_fe_div,_est_m3,yhat_fe_both
Phaktanlung Gaunpalika,0,.69287807,.81672478,.76438546,.45491418,47.784645,,,.47151801,.69390446,2011,Phaktanglung,1,.17295386,1,-.015480068,1,.054749597
Phaktanlung Gaunpalika,.047186933,.97459167,.93284935,.7368421,.68239564,44.869328,.8704835433201765,.7498410271364264,.12951645,.25015897,2021,,1,.17149611,1,.062666997,1,-.0075626639
Mikwakhola Gaunpalika,0,.54767126,.9029783,.80751568,.53898549,45.221531,,,.56051052,.71967173,2011,Mikwakhola,1,.10314932,1,-.040883876,1,-.011008284
Mikwakhola Gaunpalika,.035294119,.9811765,.94588238,.80235296,.68705881,47.785881,.6902500900029906,.4488444778835401,.3097499,.55115551,2021,,1,.1901498,1,.076177992,1,.046302404
Meringden Gaunpalika,.0042735045,.38371313,.88311851,.68679237,.46058217,48.272732,,,.53547931,.767865,2011,Meringden,1,.09307348,1,-.027367093,1,.045209672
Meringden Gaunpalika,.033898305,.94538605,.96798491,.78342748,.68173259,47.77401,.8693468802538717,.7524333291512448,.13065311,.24756667,2021,,1,.10744198,1,.065538898,1,-.0070378636
Maiwakhola Gaunpalika,0,.70797533,.82224458,.7326445,.48940581,47.028812,,,.63054156,.75489223,2011,Maiwakhola,1,.21776789,1,-.029906197,1,.025056088
Maiwakhola Gaunpalika,.022964509,.95615864,.90187889,.77453029,.68267226,48.962421,.8265525067500334,.6769259771681391,.17344749,.32307401,2021,,1,.2059668,1,.052870706,1,-.0020915789
Aatharai Tribeni Gaunpalika,0,.55162936,.77144551,.70361888,.61083519,46.112099,,,.80021423,.5459013,2011,Aathrai Tribeni,1,.35769659,1,.053878691,1,.045295425
Aatharai Tribeni Gaunpalika,.034358047,.98191684,.93309224,.78661847,.7305606,49.130199,.6097281755830153,.3496555204328615,.39027181,.65034449,2021,,1,.22876601,1,-.019520644,1,-.010937378
Phungling Municipality,.062775165,.47754797,.78085721,.69547498,.63965136,46.510086,,,.76947546,.62741917,2011,Phungling,1,.33722708,1,.085311137,1,.086694002
Phungling Municipality,.34956709,.98160172,.75865799,.68398267,.82359308,45.246754,.4974272762221972,.2032489884877577,.50257272,.79675102,2021,,1,.53737783,1,.32703111,1,.32564825
Pathivara Yangwarak Gaunpalika,0,.4827038,.91266155,.73442161,.66925281,49.119541,,,.72117519,.69842046,2011,Pathibhara Yangwarak,1,.12845181,1,-.057839002,1,-.057394911
Pathivara Yangwarak Gaunpalika,.024299065,.9813084,.91775703,.7869159,.75327104,50.504673,.4917548270686893,.1625088247819804,.50824517,.83749115,2021,,1,.27899536,1,.082138069,1,.081693977
Sirijanga Gaunpalika,.0022727272,.54312074,.84437525,.79950541,.67346132,46.322613,,,.62754077,.69561797,2011,Sirijangha,1,.21642917,1,-.017538708,1,-.025055069
Sirijanga Gaunpalika,.046901174,.98492461,.89782244,.80737019,.78559464,49.184254,.4385354436125226,.1064088474959135,.56146455,.89359117,2021,,1,.33434707,1,.06671261,1,.074228972
Sidingba Gaunpalika,0,.47041848,.88259482,.83735478,.64156854,47.235905,,,.71883774,.69954216,2011,Sidingba,1,.17993429,1,-.0016818289,1,-.0051331217
